CURSAT ver 2.1 Edition #1   Date:         03-05-2020      Hour:       14:58:39
Input file:   incidence.txt
Accumulation pseudoreplicates' file:      accum_incidence_boot.txt
Dataset pseudoreplicates' file:           pseud_incidence_boot.txt
Number of columns (sampling events):       10 
Number of rows (species, OTUs, ojects,...):              12 
Number of repetitions:       100 
Seed number:  12348695

Bootstrap (resampling with replacement)

Bootstrap replicate	Sampling event	Accumulation per n. of events	
 20 	 9 	 12 	
 20 	 10 	 12 	
 21 	 1 	 6 	
 21 	 2 	 8 	
 21 	 3 	 10 	
 21 	 4 	 12 	
 21 	 5 	 12 	
 21 	 6 	 12 	
 21 	 7 	 12 	
 21 	 8 	 12 	
 21 	 9 	 12 	
 21 	 10 	 12 	
 22 	 1 	 5 	
 22 	 2 	 5 	
 22 	 3 	 7 	
 22 	 4 	 9 	
 22 	 5 	 11 	
 22 	 6 	 11 	
 22 	 7 	 11 	
 22 	 8 	 12 	
 22 	 9 	 12 	
 22 	 10 	 12 	
 23 	 1 	 8 	
 23 	 2 	 10 	
 23 	 3 	 10 	
 23 	 4 	 12 	
 23 	 5 	 12 	
 23 	 6 	 12 	
 23 	 7 	 12 	
 23 	 8 	 12 	
 23 	 9 	 12 	
 23 	 10 	 12 	
 24 	 1 	 6 	
 24 	 2 	 8 	
 24 	 3 	 10 	
 24 	 4 	 10 	
 24 	 5 	 10 	
 24 	 6 	 11 	
 24 	 7 	 12 	
 24 	 8 	 12 	
 24 	 9 	 12 	
 24 	 10 	 12 	
 25 	 1 	 4 	
 25 	 2 	 10 	
 25 	 3 	 10 	
 25 	 4 	 11 	
 25 	 5 	 11 	
 25 	 6 	 11 	
 25 	 7 	 11 	
 25 	 8 	 11 	
 25 	 9 	 12 	
 25 	 10 	 12 	
 26 	 1 	 4 	
 26 	 2 	 8 	
 26 	 3 	 12 	
 26 	 4 	 12 	
 26 	 5 	 12 	
 26 	 6 	 12 	
 26 	 7 	 12 	
 26 	 8 	 12 	
 26 	 9 	 12 	
 26 	 10 	 12 	
 27 	 1 	 3 	
 27 	 2 	 8 	
 27 	 3 	 8 	
 27 	 4 	 11 	
 27 	 5 	 12 	
 27 	 6 	 12 	
 27 	 7 	 12 	
 27 	 8 	 12 	
 27 	 9 	 12 	
 27 	 10 	 12 	
 28 	 1 	 6 	
 28 	 2 	 10 	
 28 	 3 	 12 	
 28 	 4 	 12 	
 28 	 5 	 12 	
 28 	 6 	 12 	
 28 	 7 	 12 	
 28 	 8 	 12 	
 28 	 9 	 12 	
 28 	 10 	 12 	
 29 	 1 	 8 	
 29 	 2 	 8 	
 29 	 3 	 10 	
 29 	 4 	 11 	
 29 	 5 	 12 	
 29 	 6 	 12 	
 29 	 7 	 12 	
 29 	 8 	 12 	
 29 	 9 	 12 	
 29 	 10 	 12 	
 30 	 1 	 6 	
 30 	 2 	 6 	
 30 	 3 	 11 	
